SAMPLING EVENT IDENTIFIER,SCIENTIFIC NAME,COMMON NAME,OBSERVATION COUNT,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,PROTOCOL NAME,PROTOCOL CODE,DURATION MINUTES,EFFORT DISTANCE KM,NUMBER OBSERVERS,ALL SPECIES REPORTED,matched_hour,nearest_station,distance_km,co_ppm,no2_ppb,o3_ppb,pm10_ugm3,pm25_ugm3,so2_ugm3
S85559387,Heliangelus clarisse,Longuemare's Sunangel,1,4.483202,-74.0003669,2021-01-16,07:15:00,Traveling,P22,95.0,0.31,10.0,1,7,Usme,13.447659006398704,0.446911,0.02265223,,61.42429,15.04078,0.001695034
S79903330,Heliangelus clarisse,Longuemare's Sunangel,1,4.6643333,-73.9643611,2021-01-25,09:25:00,Traveling,P22,230.0,0.105,2.0,1,9,MinAmbiente,12.20059278950444,,,,4.677989,27.0,
S79902547,Heliangelus clarisse,Longuemare's Sunangel,1,4.6643333,-73.9643611,2021-01-25,09:25:00,Traveling,P22,230.0,0.105,2.0,1,9,MinAmbiente,12.20059278950444,,,,4.677989,27.0,
S85561519,Heliangelus clarisse,Longuemare's Sunangel,1,4.483202,-74.0003669,2021-01-16,07:15:00,Traveling,P22,95.0,0.31,10.0,1,7,Usme,13.447659006398704,0.446911,0.02265223,,61.42429,15.04078,0.001695034
S80022417,Oxyura ferruginea,Andean Duck,X,4.7302826,-74.1493195,2021-01-28,08:57:00,Traveling,P22,51.0,0.409,2.0,1,9,Bolivia,2.6738947098168167,0.5376,0.02867638,,77.66698,40.50647,0.002734946
S80024941,Oxyura ferruginea,Andean Duck,X,4.7302826,-74.1493195,2021-01-28,07:16:00,Traveling,P22,99.0,0.898,2.0,1,7,Bolivia,2.6738947098168167,1.00194,0.02564253,,57.92587,30.29237,0.007543941
S80022430,Oxyura ferruginea,Andean Duck,X,4.7302826,-74.1493195,2021-01-28,07:16:00,Traveling,P22,99.0,0.898,2.0,1,7,Bolivia,2.6738947098168167,1.00194,0.02564253,,57.92587,30.29237,0.007543941
S80024942,Oxyura ferruginea,Andean Duck,X,4.7302826,-74.1493195,2021-01-28,08:57:00,Traveling,P22,51.0,0.409,2.0,1,9,Bolivia,2.6738947098168167,0.5376,0.02867638,,77.66698,40.50647,0.002734946
S85559387,Penelope montagnii,Andean Guan,1,4.483202,-74.0003669,2021-01-16,07:15:00,Traveling,P22,95.0,0.31,10.0,1,7,Usme,13.447659006398704,0.446911,0.02265223,,61.42429,15.04078,0.001695034
S85561519,Penelope montagnii,Andean Guan,1,4.483202,-74.0003669,2021-01-16,07:15:00,Traveling,P22,95.0,0.31,10.0,1,7,Usme,13.447659006398704,0.446911,0.02265223,,61.42429,15.04078,0.001695034
S79316173,Penelope montagnii,Andean Guan,1,4.796241,-74.119193,2021-01-16,07:06:00,Traveling,P22,98.0,1.53,1.0,1,7,Bolivia,6.758640213736002,0.829838,0.02199252,,85.11694,36.38958,0.0035374
S79902607,Spinus spinescens,Andean Siskin,1,4.6731603,-73.9858327,2021-01-25,14:22:00,Traveling,P22,19.0,0.274,2.0,1,14,MinAmbiente,10.475467215417826,,,,12.39491,3.0,
S79663390,Spinus spinescens,Andean Siskin,2,4.793457,-74.111875,2021-01-14,15:24:00,Traveling,P22,90.0,0.407,2.0,0,15,Bolivia,6.592983813582786,0.306831,0.02392171,,61.26526,14.0234,0.001265012
S79291591,Spinus spinescens,Andean Siskin,1,4.794005,-74.112432,2021-01-15,15:54:00,Traveling,P22,67.0,0.263,1.0,1,16,Bolivia,6.638146382460501,0.299874,0.02246581,,73.95078,20.04298,0.000916114
S79663399,Spinus spinescens,Andean Siskin,1,4.794005,-74.112432,2021-01-15,15:54:00,Traveling,P22,67.0,0.263,1.0,1,16,Bolivia,6.638146382460501,0.299874,0.02246581,,73.95078,20.04298,0.000916114
S79934466,Spinus spinescens,Andean Siskin,2,4.79358,-74.111801,2021-01-26,11:49:00,Traveling,P22,44.0,0.159,1.0,1,12,Bolivia,6.608204972224825,0.213165,0.01573182,,28.11475,14.91241,0.00080435
S79994920,Spinus spinescens,Andean Siskin,5,4.794002,-74.112462,2021-01-27,16:54:00,Traveling,P22,87.0,0.642,2.0,1,17,Bolivia,6.6370780218288195,0.464433,0.02782155,,47.01104,6.39913,0.001463333
S79902547,Spinus spinescens,Andean Siskin,9,4.6643333,-73.9643611,2021-01-25,09:25:00,Traveling,P22,230.0,0.105,2.0,1,9,MinAmbiente,12.20059278950444,,,,4.677989,27.0,
S79242253,Spinus spinescens,Andean Siskin,2,4.793457,-74.111875,2021-01-14,15:24:00,Traveling,P22,90.0,0.407,2.0,0,15,Bolivia,6.592983813582786,0.306831,0.02392171,,61.26526,14.0234,0.001265012
S79903488,Spinus spinescens,Andean Siskin,1,4.6731603,-73.9858327,2021-01-25,14:22:00,Traveling,P22,19.0,0.274,2.0,1,14,MinAmbiente,10.475467215417826,,,,12.39491,3.0,
S198703225,Spinus spinescens,Andean Siskin,3,4.79344,-74.111862,2021-01-21,13:52:00,Traveling,P22,62.0,0.172,1.0,1,14,Bolivia,6.591484653426085,0.368943,0.03223344,,60.10613,14.25821,0.001146567
S79584914,Spinus spinescens,Andean Siskin,2,4.793665,-74.111933,2021-01-20,06:31:00,Traveling,P22,12.0,0.08,1.0,1,7,Bolivia,6.613968182305751,0.667887,0.02725446,,71.20441,40.89971,0.00378321
S80979323,Spinus spinescens,Andean Siskin,2,4.79358,-74.111801,2021-01-26,11:49:00,Traveling,P22,44.0,0.159,1.0,1,12,Bolivia,6.608204972224825,0.213165,0.01573182,,28.11475,14.91241,0.00080435
S80176219,Spinus spinescens,Andean Siskin,1,4.793811,-74.112169,2021-01-31,07:34:00,Traveling,P22,17.0,0.094,3.0,1,8,Bolivia,6.623727500621728,0.320419,0.01800727,,33.05618,14.08004,0.001320791
S79652231,Spinus spinescens,Andean Siskin,3,4.79344,-74.111862,2021-01-21,13:52:00,Traveling,P22,62.0,0.172,1.0,1,14,Bolivia,6.591484653426085,0.368943,0.03223344,,60.10613,14.25821,0.001146567
S80154154,Spinus spinescens,Andean Siskin,1,4.793531,-74.112345,2021-01-30,16:51:00,Traveling,P22,60.0,2.0,2.0,1,17,Bolivia,6.58896869437434,0.224715,0.009765522,,52.02916,10.10213,0.000706092
S85561519,Synallaxis azarae,Azara's Spinetail,2,4.483202,-74.0003669,2021-01-16,07:15:00,Traveling,P22,95.0,0.31,10.0,1,7,Usme,13.447659006398704,0.446911,0.02265223,,61.42429,15.04078,0.001695034
S85559387,Synallaxis azarae,Azara's Spinetail,2,4.483202,-74.0003669,2021-01-16,07:15:00,Traveling,P22,95.0,0.31,10.0,1,7,Usme,13.447659006398704,0.446911,0.02265223,,61.42429,15.04078,0.001695034
S80211492,Phimosus infuscatus,Bare-faced Ibis,X,4.7264163,-74.254445,2021-01-31,09:00:00,Traveling,P22,160.0,2.0,1.0,1,9,Fontibon,13.378858653100002,0.5466,,,22.39326,11.21348,0.00104041
S79683989,Phimosus infuscatus,Bare-faced Ibis,20,4.7276619,-74.2547964,2021-01-22,06:53:00,Stationary,P21,10.0,,1.0,1,7,Fontibon,13.470443618601935,1.123221,0.001569208,,63.37078,37.25698,0.002002794
S80022417,Phimosus infuscatus,Bare-faced Ibis,X,4.7302826,-74.1493195,2021-01-28,08:57:00,Traveling,P22,51.0,0.409,2.0,1,9,Bolivia,2.6738947098168167,0.5376,0.02867638,,77.66698,40.50647,0.002734946
S80024942,Phimosus infuscatus,Bare-faced Ibis,X,4.7302826,-74.1493195,2021-01-28,08:57:00,Traveling,P22,51.0,0.409,2.0,1,9,Bolivia,2.6738947098168167,0.5376,0.02867638,,77.66698,40.50647,0.002734946
S80082039,Patagioenas fasciata,Band-tailed Pigeon,29,4.793554,-74.111578,2021-01-29,14:22:00,Traveling,P22,37.0,0.182,1.0,1,14,Bolivia,6.611258156128443,0.37527,0.02308169,,68.23656,17.76286,0.001491224
S85560961,Patagioenas fasciata,Band-tailed Pigeon,4,4.4851634,-74.0000786,2021-01-16,06:00:00,Traveling,P22,64.0,0.34,10.0,1,6,Usme,13.392099327124532,0.571004,0.02487808,,61.02003,15.16819,0.00495613
S85558331,Patagioenas fasciata,Band-tailed Pigeon,4,4.4851634,-74.0000786,2021-01-16,06:00:00,Traveling,P22,64.0,0.34,10.0,1,6,Usme,13.392099327124532,0.571004,0.02487808,,61.02003,15.16819,0.00495613
S80176219,Patagioenas fasciata,Band-tailed Pigeon,7,4.793811,-74.112169,2021-01-31,07:34:00,Traveling,P22,17.0,0.094,3.0,1,8,Bolivia,6.623727500621728,0.320419,0.01800727,,33.05618,14.08004,0.001320791
S80154154,Patagioenas fasciata,Band-tailed Pigeon,6,4.793531,-74.112345,2021-01-30,16:51:00,Traveling,P22,60.0,2.0,2.0,1,17,Bolivia,6.58896869437434,0.224715,0.009765522,,52.02916,10.10213,0.000706092
S80979323,Patagioenas fasciata,Band-tailed Pigeon,5,4.79358,-74.111801,2021-01-26,11:49:00,Traveling,P22,44.0,0.159,1.0,1,12,Bolivia,6.608204972224825,0.213165,0.01573182,,28.11475,14.91241,0.00080435
S79934466,Patagioenas fasciata,Band-tailed Pigeon,5,4.79358,-74.111801,2021-01-26,11:49:00,Traveling,P22,44.0,0.159,1.0,1,12,Bolivia,6.608204972224825,0.213165,0.01573182,,28.11475,14.91241,0.00080435
S79903330,Catamenia analis,Band-tailed Seedeater,1,4.6643333,-73.9643611,2021-01-25,09:25:00,Traveling,P22,230.0,0.105,2.0,1,9,MinAmbiente,12.20059278950444,,,,4.677989,27.0,
S79902547,Catamenia analis,Band-tailed Seedeater,1,4.6643333,-73.9643611,2021-01-25,09:25:00,Traveling,P22,230.0,0.105,2.0,1,9,MinAmbiente,12.20059278950444,,,,4.677989,27.0,
S80748948,Ochthoeca fumicolor,Brown-backed Chat-Tyrant,1,4.56063,-74.00152,2021-01-31,09:10:00,Traveling,P22,42.0,2.6,1.0,1,9,San Cristobal,9.193149259869855,,,,11.0,8.0,
S79902547,Setophaga fusca,Blackburnian Warbler,2,4.6643333,-73.9643611,2021-01-25,09:25:00,Traveling,P22,230.0,0.105,2.0,1,9,MinAmbiente,12.20059278950444,,,,4.677989,27.0,
S79903330,Setophaga fusca,Blackburnian Warbler,2,4.6643333,-73.9643611,2021-01-25,09:25:00,Traveling,P22,230.0,0.105,2.0,1,9,MinAmbiente,12.20059278950444,,,,4.677989,27.0,
S79902607,Setophaga fusca,Blackburnian Warbler,7,4.6731603,-73.9858327,2021-01-25,14:22:00,Traveling,P22,19.0,0.274,2.0,1,14,MinAmbiente,10.475467215417826,,,,12.39491,3.0,
S79903488,Setophaga fusca,Blackburnian Warbler,7,4.6731603,-73.9858327,2021-01-25,14:22:00,Traveling,P22,19.0,0.274,2.0,1,14,MinAmbiente,10.475467215417826,,,,12.39491,3.0,
S80749223,Conirostrum sitticolor,Blue-backed Conebill,1,4.55665,-73.9781473,2021-01-31,10:15:00,Traveling,P22,81.0,1.4,1.0,1,10,San Cristobal,11.820739991731022,,,,10.0,6.0,
S79316173,Pheucticus aureoventris,Black-backed Grosbeak,1,4.796241,-74.119193,2021-01-16,07:06:00,Traveling,P22,98.0,1.53,1.0,1,7,Bolivia,6.758640213736002,0.829838,0.02199252,,85.11694,36.38958,0.0035374
S79405182,Pheucticus aureoventris,Black-backed Grosbeak,3,4.796241,-74.119193,2021-01-17,06:32:00,Traveling,P22,128.0,1.48,1.0,1,7,Bolivia,6.758640213736002,0.488418,0.01815242,,46.44255,27.06452,0.002697067
S79405182,Sporathraupis cyanocephala,Blue-capped Tanager,2,4.796241,-74.119193,2021-01-17,06:32:00,Traveling,P22,128.0,1.48,1.0,1,7,Bolivia,6.758640213736002,0.488418,0.01815242,,46.44255,27.06452,0.002697067
S85558331,Sporathraupis cyanocephala,Blue-capped Tanager,1,4.4851634,-74.0000786,2021-01-16,06:00:00,Traveling,P22,64.0,0.34,10.0,1,6,Usme,13.392099327124532,0.571004,0.02487808,,61.02003,15.16819,0.00495613
S79316173,Sporathraupis cyanocephala,Blue-capped Tanager,1,4.796241,-74.119193,2021-01-16,07:06:00,Traveling,P22,98.0,1.53,1.0,1,7,Bolivia,6.758640213736002,0.829838,0.02199252,,85.11694,36.38958,0.0035374
S85560961,Sporathraupis cyanocephala,Blue-capped Tanager,1,4.4851634,-74.0000786,2021-01-16,06:00:00,Traveling,P22,64.0,0.34,10.0,1,6,Usme,13.392099327124532,0.571004,0.02487808,,61.02003,15.16819,0.00495613
S79902547,Myiothlypis nigrocristata,Black-crested Warbler,2,4.6643333,-73.9643611,2021-01-25,09:25:00,Traveling,P22,230.0,0.105,2.0,1,9,MinAmbiente,12.20059278950444,,,,4.677989,27.0,
S79903330,Myiothlypis nigrocristata,Black-crested Warbler,2,4.6643333,-73.9643611,2021-01-25,09:25:00,Traveling,P22,230.0,0.105,2.0,1,9,MinAmbiente,12.20059278950444,,,,4.677989,27.0,
S79663390,Diglossa humeralis,Black Flowerpiercer,2,4.793457,-74.111875,2021-01-14,15:24:00,Traveling,P22,90.0,0.407,2.0,0,15,Bolivia,6.592983813582786,0.306831,0.02392171,,61.26526,14.0234,0.001265012
S79242253,Diglossa humeralis,Black Flowerpiercer,2,4.793457,-74.111875,2021-01-14,15:24:00,Traveling,P22,90.0,0.407,2.0,0,15,Bolivia,6.592983813582786,0.306831,0.02392171,,61.26526,14.0234,0.001265012
S85558331,Diglossa humeralis,Black Flowerpiercer,2,4.4851634,-74.0000786,2021-01-16,06:00:00,Traveling,P22,64.0,0.34,10.0,1,6,Usme,13.392099327124532,0.571004,0.02487808,,61.02003,15.16819,0.00495613
S79903488,Diglossa humeralis,Black Flowerpiercer,2,4.6731603,-73.9858327,2021-01-25,14:22:00,Traveling,P22,19.0,0.274,2.0,1,14,MinAmbiente,10.475467215417826,,,,12.39491,3.0,
S79445627,Diglossa humeralis,Black Flowerpiercer,1,4.793807,-74.11218,2021-01-17,15:55:00,Stationary,P21,40.0,,1.0,0,16,Bolivia,6.623015843421862,0.232368,0.01126342,,28.43326,10.02774,0.001052708
S79902547,Diglossa humeralis,Black Flowerpiercer,4,4.6643333,-73.9643611,2021-01-25,09:25:00,Traveling,P22,230.0,0.105,2.0,1,9,MinAmbiente,12.20059278950444,,,,4.677989,27.0,
S80082039,Diglossa humeralis,Black Flowerpiercer,1,4.793554,-74.111578,2021-01-29,14:22:00,Traveling,P22,37.0,0.182,1.0,1,14,Bolivia,6.611258156128443,0.37527,0.02308169,,68.23656,17.76286,0.001491224
S79584914,Diglossa humeralis,Black Flowerpiercer,1,4.793665,-74.111933,2021-01-20,06:31:00,Traveling,P22,12.0,0.08,1.0,1,7,Bolivia,6.613968182305751,0.667887,0.02725446,,71.20441,40.89971,0.00378321
S85560961,Diglossa humeralis,Black Flowerpiercer,2,4.4851634,-74.0000786,2021-01-16,06:00:00,Traveling,P22,64.0,0.34,10.0,1,6,Usme,13.392099327124532,0.571004,0.02487808,,61.02003,15.16819,0.00495613
S79903330,Diglossa humeralis,Black Flowerpiercer,4,4.6643333,-73.9643611,2021-01-25,09:25:00,Traveling,P22,230.0,0.105,2.0,1,9,MinAmbiente,12.20059278950444,,,,4.677989,27.0,
S79902607,Diglossa humeralis,Black Flowerpiercer,2,4.6731603,-73.9858327,2021-01-25,14:22:00,Traveling,P22,19.0,0.274,2.0,1,14,MinAmbiente,10.475467215417826,,,,12.39491,3.0,
S79994920,Sayornis nigricans,Black Phoebe,1,4.794002,-74.112462,2021-01-27,16:54:00,Traveling,P22,87.0,0.642,2.0,1,17,Bolivia,6.6370780218288195,0.464433,0.02782155,,47.01104,6.39913,0.001463333
S80211492,Coragyps atratus,Black Vulture,X,4.7264163,-74.254445,2021-01-31,09:00:00,Traveling,P22,160.0,2.0,1.0,1,9,Fontibon,13.378858653100002,0.5466,,,22.39326,11.21348,0.00104041
S80024942,Coragyps atratus,Black Vulture,5,4.7302826,-74.1493195,2021-01-28,08:57:00,Traveling,P22,51.0,0.409,2.0,1,9,Bolivia,2.6738947098168167,0.5376,0.02867638,,77.66698,40.50647,0.002734946
S80749223,Coragyps atratus,Black Vulture,1,4.55665,-73.9781473,2021-01-31,10:15:00,Traveling,P22,81.0,1.4,1.0,1,10,San Cristobal,11.820739991731022,,,,10.0,6.0,
S80022417,Coragyps atratus,Black Vulture,5,4.7302826,-74.1493195,2021-01-28,08:57:00,Traveling,P22,51.0,0.409,2.0,1,9,Bolivia,2.6738947098168167,0.5376,0.02867638,,77.66698,40.50647,0.002734946
S79242253,Coragyps atratus,Black Vulture,4,4.793457,-74.111875,2021-01-14,15:24:00,Traveling,P22,90.0,0.407,2.0,0,15,Bolivia,6.592983813582786,0.306831,0.02392171,,61.26526,14.0234,0.001265012
S79902547,Coragyps atratus,Black Vulture,5,4.6643333,-73.9643611,2021-01-25,09:25:00,Traveling,P22,230.0,0.105,2.0,1,9,MinAmbiente,12.20059278950444,,,,4.677989,27.0,
S79652231,Coragyps atratus,Black Vulture,2,4.79344,-74.111862,2021-01-21,13:52:00,Traveling,P22,62.0,0.172,1.0,1,14,Bolivia,6.591484653426085,0.368943,0.03223344,,60.10613,14.25821,0.001146567
S80748948,Coragyps atratus,Black Vulture,5,4.56063,-74.00152,2021-01-31,09:10:00,Traveling,P22,42.0,2.6,1.0,1,9,San Cristobal,9.193149259869855,,,,11.0,8.0,
S80082039,Coragyps atratus,Black Vulture,2,4.793554,-74.111578,2021-01-29,14:22:00,Traveling,P22,37.0,0.182,1.0,1,14,Bolivia,6.611258156128443,0.37527,0.02308169,,68.23656,17.76286,0.001491224
S85559387,Coragyps atratus,Black Vulture,3,4.483202,-74.0003669,2021-01-16,07:15:00,Traveling,P22,95.0,0.31,10.0,1,7,Usme,13.447659006398704,0.446911,0.02265223,,61.42429,15.04078,0.001695034
S80127606,Coragyps atratus,Black Vulture,1,4.793619,-74.111859,2021-01-23,15:33:00,Traveling,P22,77.0,0.261,2.0,1,16,Bolivia,6.610910786602482,0.193691,0.009685816,,20.48236,4.825061,0.000484549
S198703225,Coragyps atratus,Black Vulture,2,4.79344,-74.111862,2021-01-21,13:52:00,Traveling,P22,62.0,0.172,1.0,1,14,Bolivia,6.591484653426085,0.368943,0.03223344,,60.10613,14.25821,0.001146567
S79663390,Coragyps atratus,Black Vulture,4,4.793457,-74.111875,2021-01-14,15:24:00,Traveling,P22,90.0,0.407,2.0,0,15,Bolivia,6.592983813582786,0.306831,0.02392171,,61.26526,14.0234,0.001265012
S79776708,Coragyps atratus,Black Vulture,1,4.793619,-74.111859,2021-01-23,15:33:00,Traveling,P22,77.0,0.261,2.0,1,16,Bolivia,6.610910786602482,0.193691,0.009685816,,20.48236,4.825061,0.000484549
S79994920,Coragyps atratus,Black Vulture,1,4.794002,-74.112462,2021-01-27,16:54:00,Traveling,P22,87.0,0.642,2.0,1,17,Bolivia,6.6370780218288195,0.464433,0.02782155,,47.01104,6.39913,0.001463333
S85561519,Coragyps atratus,Black Vulture,3,4.483202,-74.0003669,2021-01-16,07:15:00,Traveling,P22,95.0,0.31,10.0,1,7,Usme,13.447659006398704,0.446911,0.02265223,,61.42429,15.04078,0.001695034
S79903330,Coragyps atratus,Black Vulture,5,4.6643333,-73.9643611,2021-01-25,09:25:00,Traveling,P22,230.0,0.105,2.0,1,9,MinAmbiente,12.20059278950444,,,,4.677989,27.0,
S79902547,Coeligena helianthea,Blue-throated Starfrontlet,4,4.6643333,-73.9643611,2021-01-25,09:25:00,Traveling,P22,230.0,0.105,2.0,1,9,MinAmbiente,12.20059278950444,,,,4.677989,27.0,
S79903330,Coeligena helianthea,Blue-throated Starfrontlet,4,4.6643333,-73.9643611,2021-01-25,09:25:00,Traveling,P22,230.0,0.105,2.0,1,9,MinAmbiente,12.20059278950444,,,,4.677989,27.0,
S79902547,Lesbia victoriae,Black-tailed Trainbearer,2,4.6643333,-73.9643611,2021-01-25,09:25:00,Traveling,P22,230.0,0.105,2.0,1,9,MinAmbiente,12.20059278950444,,,,4.677989,27.0,
S79316173,Lesbia victoriae,Black-tailed Trainbearer,1,4.796241,-74.119193,2021-01-16,07:06:00,Traveling,P22,98.0,1.53,1.0,1,7,Bolivia,6.758640213736002,0.829838,0.02199252,,85.11694,36.38958,0.0035374
S79903330,Lesbia victoriae,Black-tailed Trainbearer,2,4.6643333,-73.9643611,2021-01-25,09:25:00,Traveling,P22,230.0,0.105,2.0,1,9,MinAmbiente,12.20059278950444,,,,4.677989,27.0,
S80749223,Diglossa caerulescens,Bluish Flowerpiercer,1,4.55665,-73.9781473,2021-01-31,10:15:00,Traveling,P22,81.0,1.4,1.0,1,10,San Cristobal,11.820739991731022,,,,10.0,6.0,
S85559387,Diglossa caerulescens,Bluish Flowerpiercer,2,4.483202,-74.0003669,2021-01-16,07:15:00,Traveling,P22,95.0,0.31,10.0,1,7,Usme,13.447659006398704,0.446911,0.02265223,,61.42429,15.04078,0.001695034
S80748948,Diglossa caerulescens,Bluish Flowerpiercer,1,4.56063,-74.00152,2021-01-31,09:10:00,Traveling,P22,42.0,2.6,1.0,1,9,San Cristobal,9.193149259869855,,,,11.0,8.0,
S85561519,Diglossa caerulescens,Bluish Flowerpiercer,2,4.483202,-74.0003669,2021-01-16,07:15:00,Traveling,P22,95.0,0.31,10.0,1,7,Usme,13.447659006398704,0.446911,0.02265223,,61.42429,15.04078,0.001695034
S80024942,Rallus semiplumbeus,Bogota Rail,1,4.7302826,-74.1493195,2021-01-28,08:57:00,Traveling,P22,51.0,0.409,2.0,1,9,Bolivia,2.6738947098168167,0.5376,0.02867638,,77.66698,40.50647,0.002734946
S80022417,Rallus semiplumbeus,Bogota Rail,2,4.7302826,-74.1493195,2021-01-28,08:57:00,Traveling,P22,51.0,0.409,2.0,1,9,Bolivia,2.6738947098168167,0.5376,0.02867638,,77.66698,40.50647,0.002734946
S79663399,Orochelidon murina,Brown-bellied Swallow,30,4.794005,-74.112432,2021-01-15,15:54:00,Traveling,P22,67.0,0.263,1.0,1,16,Bolivia,6.638146382460501,0.299874,0.02246581,,73.95078,20.04298,0.000916114
S80022430,Orochelidon murina,Brown-bellied Swallow,11,4.7302826,-74.1493195,2021-01-28,07:16:00,Traveling,P22,99.0,0.898,2.0,1,7,Bolivia,2.6738947098168167,1.00194,0.02564253,,57.92587,30.29237,0.007543941
S80127606,Orochelidon murina,Brown-bellied Swallow,100,4.793619,-74.111859,2021-01-23,15:33:00,Traveling,P22,77.0,0.261,2.0,1,16,Bolivia,6.610910786602482,0.193691,0.009685816,,20.48236,4.825061,0.000484549
S80082039,Orochelidon murina,Brown-bellied Swallow,100,4.793554,-74.111578,2021-01-29,14:22:00,Traveling,P22,37.0,0.182,1.0,1,14,Bolivia,6.611258156128443,0.37527,0.02308169,,68.23656,17.76286,0.001491224
S79934466,Orochelidon murina,Brown-bellied Swallow,30,4.79358,-74.111801,2021-01-26,11:49:00,Traveling,P22,44.0,0.159,1.0,1,12,Bolivia,6.608204972224825,0.213165,0.01573182,,28.11475,14.91241,0.00080435
S79903330,Orochelidon murina,Brown-bellied Swallow,23,4.6643333,-73.9643611,2021-01-25,09:25:00,Traveling,P22,230.0,0.105,2.0,1,9,MinAmbiente,12.20059278950444,,,,4.677989,27.0,
S79902607,Orochelidon murina,Brown-bellied Swallow,18,4.6731603,-73.9858327,2021-01-25,14:22:00,Traveling,P22,19.0,0.274,2.0,1,14,MinAmbiente,10.475467215417826,,,,12.39491,3.0,
S79652231,Orochelidon murina,Brown-bellied Swallow,100,4.79344,-74.111862,2021-01-21,13:52:00,Traveling,P22,62.0,0.172,1.0,1,14,Bolivia,6.591484653426085,0.368943,0.03223344,,60.10613,14.25821,0.001146567
S80749223,Orochelidon murina,Brown-bellied Swallow,1,4.55665,-73.9781473,2021-01-31,10:15:00,Traveling,P22,81.0,1.4,1.0,1,10,San Cristobal,11.820739991731022,,,,10.0,6.0,
S79902547,Orochelidon murina,Brown-bellied Swallow,23,4.6643333,-73.9643611,2021-01-25,09:25:00,Traveling,P22,230.0,0.105,2.0,1,9,MinAmbiente,12.20059278950444,,,,4.677989,27.0,
S80154154,Orochelidon murina,Brown-bellied Swallow,50,4.793531,-74.112345,2021-01-30,16:51:00,Traveling,P22,60.0,2.0,2.0,1,17,Bolivia,6.58896869437434,0.224715,0.009765522,,52.02916,10.10213,0.000706092
S80024941,Orochelidon murina,Brown-bellied Swallow,11,4.7302826,-74.1493195,2021-01-28,07:16:00,Traveling,P22,99.0,0.898,2.0,1,7,Bolivia,2.6738947098168167,1.00194,0.02564253,,57.92587,30.29237,0.007543941
S79663394,Orochelidon murina,Brown-bellied Swallow,5,4.793549,-74.111505,2021-01-16,12:51:00,Traveling,P22,40.0,0.185,2.0,1,13,Bolivia,6.612656657146264,0.163837,0.01196698,,50.4298,15.1858,0.000989898
S79336298,Orochelidon murina,Brown-bellied Swallow,5,4.793549,-74.111505,2021-01-16,12:51:00,Traveling,P22,40.0,0.185,2.0,1,13,Bolivia,6.612656657146264,0.163837,0.01196698,,50.4298,15.1858,0.000989898
S79776708,Orochelidon murina,Brown-bellied Swallow,100,4.793619,-74.111859,2021-01-23,15:33:00,Traveling,P22,77.0,0.261,2.0,1,16,Bolivia,6.610910786602482,0.193691,0.009685816,,20.48236,4.825061,0.000484549
S198703225,Orochelidon murina,Brown-bellied Swallow,100,4.79344,-74.111862,2021-01-21,13:52:00,Traveling,P22,62.0,0.172,1.0,1,14,Bolivia,6.591484653426085,0.368943,0.03223344,,60.10613,14.25821,0.001146567
S80979323,Orochelidon murina,Brown-bellied Swallow,30,4.79358,-74.111801,2021-01-26,11:49:00,Traveling,P22,44.0,0.159,1.0,1,12,Bolivia,6.608204972224825,0.213165,0.01573182,,28.11475,14.91241,0.00080435
S79431939,Orochelidon murina,Brown-bellied Swallow,30,4.793592,-74.111644,2021-01-17,13:30:00,Traveling,P22,43.0,0.169,1.0,0,14,Bolivia,6.61361791824455,0.205488,0.01066013,,22.97293,8.741781,0.000859346
S79291591,Orochelidon murina,Brown-bellied Swallow,30,4.794005,-74.112432,2021-01-15,15:54:00,Traveling,P22,67.0,0.263,1.0,1,16,Bolivia,6.638146382460501,0.299874,0.02246581,,73.95078,20.04298,0.000916114
S79903488,Orochelidon murina,Brown-bellied Swallow,18,4.6731603,-73.9858327,2021-01-25,14:22:00,Traveling,P22,19.0,0.274,2.0,1,14,MinAmbiente,10.475467215417826,,,,12.39491,3.0,
S79994920,Orochelidon murina,Brown-bellied Swallow,20,4.794002,-74.112462,2021-01-27,16:54:00,Traveling,P22,87.0,0.642,2.0,1,17,Bolivia,6.6370780218288195,0.464433,0.02782155,,47.01104,6.39913,0.001463333
S79405182,Buteo platypterus,Broad-winged Hawk,2,4.796241,-74.119193,2021-01-17,06:32:00,Traveling,P22,128.0,1.48,1.0,1,7,Bolivia,6.758640213736002,0.488418,0.01815242,,46.44255,27.06452,0.002697067
S79316173,Buteo platypterus,Broad-winged Hawk,1,4.796241,-74.119193,2021-01-16,07:06:00,Traveling,P22,98.0,1.53,1.0,1,7,Bolivia,6.758640213736002,0.829838,0.02199252,,85.11694,36.38958,0.0035374
S79994920,Buteo platypterus,Broad-winged Hawk,2,4.794002,-74.112462,2021-01-27,16:54:00,Traveling,P22,87.0,0.642,2.0,1,17,Bolivia,6.6370780218288195,0.464433,0.02782155,,47.01104,6.39913,0.001463333
S79445627,Thraupis episcopus,Blue-gray Tanager,2,4.793807,-74.11218,2021-01-17,15:55:00,Stationary,P21,40.0,,1.0,0,16,Bolivia,6.623015843421862,0.232368,0.01126342,,28.43326,10.02774,0.001052708
